long,lat,year,Tmax_Summer,T_Annual,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,2021,36.908865979381446,11.869946495172414,0.0,0.0,84.0,5.0,11.0,7.0,0.0,3.317281642986655,40.56,89.0,0.10934667345869231,8.13979381443299,8.167525773195877,7.989310344827587,0.6702995387628866,23.65709587628866,-14.977250000000002,0.10741383982089861,0.07994559606713972,0.04385360225821331,0.06962380925252463
-110.0472,37.60413,2022,38.05595744680851,11.708687827160494,0.0,0.0,84.0,5.0,11.0,7.0,0.0,3.053213282153184,40.915,89.0,0.10379564912912828,5.509361702127659,7.096170212765957,6.822222222222223,1.1706767404255318,24.875660319148935,-13.0835,0.09696323795357711,0.0737738873170958,0.043627099960399006,0.06455790413288003
-110.0472,37.60413,2023,37.70012048192771,12.946630154285714,0.0,0.0,84.0,5.0,11.0,7.0,0.0,3.5493000459891832,39.658,89.0,0.20244009025770446,8.128795180722891,7.483855421686747,8.760142857142858,1.389675381927711,24.494509518072288,-13.13125,0.09660306946984984,0.07473725546566849,0.04580795769286414,0.07373581593942853
-110.0472,37.60413,2024,38.36454545454546,12.354645739344264,0.0,0.0,84.0,5.0,11.0,7.0,0.0,2.847996104835939,42.401,89.0,0.15544462615422278,7.085844155844156,6.983506493506494,7.783606557377049,1.7874896155844155,24.721135844155846,-12.860499999999998,0.1032062369107349,0.07668302034356024,0.04460637777213977,0.0714462374370465
-110.0461,37.60334,2021,37.56454545454545,13.851747921875,6.0,0.0,77.0,7.0,6.0,10.0,0.0,3.3455027132037687,40.56,89.0,0.11036983629678812,7.471948051948052,8.165974025974025,7.96953125,0.7500648706493506,24.04826350649351,-14.977250000000002,0.10980870109295379,0.07623957427233877,0.049835173881202385,0.07451945652698791
-110.0461,37.60334,2022,38.586666666666666,11.79913543125,6.0,0.0,77.0,7.0,6.0,10.0,0.0,3.0832538414642263,40.915,89.0,0.0995571917846109,5.653636363636363,5.538636363636364,7.6968749999999995,1.6119897984848484,24.74498212121212,-13.0835,0.09967025719184414,0.07103203655412796,0.04942291355729965,0.06988989459145818
-110.0461,37.60334,2023,38.02068965517242,12.962361447500001,6.0,0.0,77.0,7.0,6.0,10.0,0.0,3.577117369283023,39.658,89.0,0.1917006700712526,6.970574712643679,7.572068965517241,7.880249999999999,1.1516794309195402,24.550328735632185,-13.13125,0.1016846036971987,0.0717283827991499,0.05195869684469283,0.07823763538513606
-110.0461,37.60334,2024,38.741733333333336,12.80568329032258,6.0,0.0,77.0,7.0,6.0,10.0,0.0,2.873840078964945,42.401,89.0,0.14079968154176553,6.7157333333333336,6.329866666666667,6.60516129032258,1.759795614666667,24.926377733333332,-12.860499999999998,0.10544782541800417,0.07390694842140397,0.050415457911676065,0.07661890266235086
-110.0458,37.60308,2021,37.28116279069767,11.157110273333332,11.0,0.0,70.0,8.0,11.0,11.0,0.0,3.4577281325,40.56,89.0,0.1489203003153846,7.749767441860465,7.253720930232559,7.4446666666666665,0.8393223667441861,23.888965232558142,-14.977250000000002,0.1017225185,0.074061605,0.049213522999999995,0.06987248
-110.0458,37.60308,2022,37.895,14.028463938888889,11.0,0.0,70.0,8.0,11.0,11.0,0.0,3.183715975,40.915,89.0,0.1556010611725,5.972794117647059,6.8679411764705875,7.016851851851852,1.426766330882353,24.305280294117647,-13.0835,0.09068412225,0.068362729,0.0490204435,0.06639266525000001
-110.0458,37.60308,2023,37.93507462686567,14.192221883448276,11.0,0.0,70.0,8.0,11.0,11.0,0.0,3.6993160875,39.658,89.0,0.2892599226378378,7.315671641791044,8.156268656716419,8.29,1.3520828574626866,24.543231940298508,-13.13125,0.09285381150000001,0.06851931275,0.05110583775000001,0.0739742625
-110.0458,37.60308,2024,38.470740740740744,10.770122327536232,11.0,0.0,70.0,8.0,11.0,11.0,0.0,2.9542083999999997,42.401,89.0,0.2345378543125,6.926666666666668,5.995432098765432,7.520434782608695,1.640421935802469,25.074656296296297,-12.860499999999998,0.09690454400000001,0.07111137075,0.04995730325,0.07170780974999999
-110.0393,37.60519,2021,37.46336363636364,12.132084753608247,9.0,0.0,58.0,10.0,9.0,15.0,0.0,3.298595015,40.314,89.0,0.11711798623076923,7.204727272727273,7.993727272727273,7.432371134020619,0.8007958849090909,23.847692272727272,-14.8935,0.12031617425,0.07582555225,0.0560207875,0.0858390945
-110.0393,37.60519,2022,37.85316455696203,13.158122472727273,9.0,0.0,58.0,10.0,9.0,15.0,0.0,3.055646175,40.715,89.0,0.11154814516153848,6.590126582278481,6.981772151898734,6.441060606060606,1.0709001430379748,24.215347088607594,-12.962,0.11205176525,0.07217473399999999,0.0552827835,0.08002103225
-110.0393,37.60519,2023,37.465890410958906,12.076888703225805,9.0,0.0,58.0,10.0,9.0,15.0,0.0,3.492296175,39.443,89.0,0.18158807916486486,7.073972602739726,8.301232876712328,10.303870967741936,1.5466971068493152,24.387798082191782,-13.06225,0.11847345025,0.07344949149999999,0.058032635,0.085938613
-110.0393,37.60519,2024,38.0145205479452,14.128778851666668,9.0,0.0,58.0,10.0,9.0,15.0,0.0,2.831335975,42.235,88.0,0.1651168728282051,6.621643835616438,6.855068493150685,8.193999999999999,1.9575704452054796,24.489636164383562,-12.75525,0.114301619,0.07462938999999999,0.056210878750000005,0.08659303125
-110.0389,37.60545,2021,37.58758241758242,11.9823157325,7.0,0.0,62.0,8.0,9.0,13.0,0.0,2.851711887912088,40.314,89.0,0.07992296283409407,7.508241758241758,5.9532967032967035,6.7753749999999995,0.9113979896703296,23.930341538461537,-14.45934065934066,0.12544297505494506,0.08147130087912088,0.05639540758241758,0.08453058472527473
-110.0389,37.60545,2022,38.386562500000004,12.892055892771083,7.0,0.0,62.0,8.0,9.0,13.0,0.0,3.040380229166667,40.715,89.0,0.08001734025833333,5.0225,6.304479166666667,5.738433734939759,1.8257980354166667,24.574324375,-12.982604166666667,0.10283497583333334,0.07558454114583334,0.056547953958333334,0.07968470364583334
-110.0389,37.60545,2023,37.69864583333334,12.549982254761904,7.0,0.0,62.0,8.0,9.0,13.0,0.0,3.4229096635416667,39.443,89.0,0.1992620285797956,7.421666666666667,8.289583333333333,9.064166666666667,1.034663888125,24.256416770833336,-13.2053125,0.1207203140625,0.08300348177083333,0.06063503770833333,0.09043388760416667
-110.0389,37.60545,2024,38.43085714285714,13.809381698113208,7.0,0.0,62.0,8.0,9.0,13.0,0.0,2.8604109857142856,42.235,88.0,0.09633660635,7.199,5.939,6.789811320754717,1.57492388,24.841399285714285,-12.907714285714285,0.12702177957142857,0.07929235514285714,0.05697314728571429,0.0878946432857143
-110.0386,37.59621,2021,37.261170212765954,12.511029151764706,7.0,0.0,63.0,8.0,9.0,10.0,0.0,3.447965525,40.314,89.0,0.1249981915388835,8.197553191489362,7.379042553191489,8.217294117647059,0.8619645546808511,23.85597085106383,-14.8935,0.12467856775,0.09805478375,0.0541460375,0.08045334775
-110.0386,37.59621,2022,38.32026666666667,13.775147762962964,7.0,0.0,63.0,8.0,9.0,10.0,0.0,3.20601645,40.715,89.0,0.1275762176925,6.6357333333333335,6.3832,6.362222222222222,1.2060074586666667,24.757662800000002,-12.962,0.11374041050000001,0.08991073425,0.054103659250000005,0.07545323225
-110.0386,37.59621,2023,37.795614035087716,11.67554195104762,7.0,0.0,63.0,8.0,9.0,10.0,0.0,3.6562612449999996,39.443,89.0,0.23798016155790053,7.575526315789474,7.746842105263158,8.621809523809523,0.8998986710526315,24.315942192982455,-13.06225,0.11236469275000001,0.09144061425,0.056089857750000006,0.08542269125
-110.0386,37.59621,2024,38.14028985507246,12.490178075471697,7.0,0.0,63.0,8.0,9.0,10.0,0.0,2.95803015,42.235,88.0,0.1916065150695,6.9601449275362315,6.237536231884058,7.441132075471698,1.931107695652174,24.655358260869566,-12.75525,0.1218443745,0.094408841,0.05514314099999999,0.082125257
-110.0376,37.60202,2021,37.263333333333335,12.691778855223882,5.0,0.0,65.0,7.0,8.0,10.0,0.0,3.3289809750000003,40.314,89.0,0.10480364526659525,7.3832098765432095,7.218148148148147,7.471940298507462,0.7327448461728395,23.825615925925927,-14.8935,0.10925554625,0.0724646905,0.051337221,0.07739477075
-110.0376,37.60202,2022,38.0875,12.344342121212122,5.0,0.0,65.0,7.0,8.0,10.0,0.0,3.09227815,40.715,89.0,0.09189584114,6.558625000000001,6.894374999999999,7.005757575757576,1.3559340350000002,24.393879125,-12.962,0.09938667075,0.06863099875,0.050737849,0.072296448
